under5	白石隼也	鈴木亮平	Honey L Days	24
20~25	米倉涼子	三田佳子	Superfly	21
10~15	沢口靖子	若村麻由美	Salley	19
10~15	草なぎ剛	北川景子	None	22
under5	優香	三浦貴大	None	23
5~10	長瀬智也	剛力彩芽	None	22
5~10	長澤まさみ	溝端淳平	Perfume	23
5~10	船越英一郎	中山忍	None	19
under5	財前直見	沢村一樹	None	19
5~10	三上博史	高橋光臣	None	21
under5	西島隆弘	塚本高史	青木カレン	21
5~10	AKIRA	仲間由紀恵	三代目 J Soul Brothers from EXILE TRIBE	23
5~10	亀梨和也	多部未華子	None	21
under5	佐藤勝利	神宮寺勇太	None	24
under5	北山宏光	佐藤二朗	None	25
10~15	木村拓哉	柴咲コウ	竹内まりや	21
5~10	杉本哲太	古田新太	wacci	20
under5	八乙女光	玉城ティナ	Hey!Say!JUMP	24
10~15	松本潤	石原さとみ	嵐	21
5~10	原田知世	水野真紀	マイア・ヒラサワ	22
10~15	伊藤淳史	仲村トオル	東方神起	22
5~10	檀れい	稲垣吾郎	None	21
10~15	三浦春馬	多部未華子	None	22
10~15	芦田愛菜	鈴木梨央	コトリンゴ	22
5~10	滝沢秀明	忽那汐里	None	20
5~10	大倉忠義	加藤あい	関ジャニ	21
under5	山田孝之	綾野剛	鴉	24
10~15	天海祐希	田中哲司	JUJU	21
10~15	坂口憲二	稲森いずみ	None	22
under5	田中直樹	矢田亜希子	fumika	23
5~10	観月ありさ	蓮佛美沙子	三浦大知	22
5~10	剛力彩芽	玉木宏	剛力彩芽	23
10~15	北大路欣也	泉谷しげる	川上大輔	19
5~10	小野ゆり子	泉ピン子	Dragon Ash	19
5~10	瀬戸康史	石橋杏奈	None	23
10~15	武井咲	TAKAHIRO	None	21
under5	平野紫耀	濱田崇裕	SHARK	24
15~20	岡田准一	中谷美紀	None	18
10~15	向井理	綾野剛	MISIA	21
5~10	北村一輝	谷原章介	エレファントカシマシ	20
5~10	尾野真千子	三浦友和	氣志團	21
5~10	深田恭子	北村有起哉	Perfume	22
